fps,pg_loss,entropy,vf_loss,eplenmean,average_reward,time_elapsed,total_timesteps,nupdates,agent
3,-0.0066436855,7.0570745,0.06416939,128.0,[2106.03851562 2500.91492187 2960.688125  ],160.26548409461975,512,1,[0 1 2]
5,-0.075405374,6.4350834,4.6628484e-05,128.0,[2123.35890625 2516.47195312 2975.02195312],519.8589987754822,2048,4,[0 1 2]
5,-0.048434556,4.492061,1.4296989e-05,128.0,[2157.3378125  2550.01867188 3017.983125  ],975.0322329998016,4096,8,[0 1 2]
4,-0.016030373,2.9101021,1.8111245e-06,128.0,[2164.92773438 2559.07304687 3027.9903125 ],1422.3066601753235,6144,12,[0 1 2]
4,-0.009335844,1.6098007,7.2386297e-07,128.0,[2166.41265625 2560.41679687 3029.76734375],1872.1618723869324,8192,16,[0 1 2]
5,-0.0051175123,0.5697327,5.682955e-07,128.0,[2167.38398438 2561.43375    3031.26421875],2269.718695163727,10240,20,[0 1 2]
5,-0.005341139,0.01307782,8.4087617e-07,128.0,[2167.88007813 2562.05515625 3032.29203125],2642.3426566123962,12288,24,[0 1 2]
5,9.053497e-05,-0.60491765,5.011581e-07,128.0,[2168.32507812 2562.54007813 3033.06882812],3020.757287502289,14336,28,[0 1 2]
5,0.0030041584,-1.105048,6.9660484e-07,128.0,[2168.61765625 2562.838125   3033.4428125 ],3391.5161340236664,16384,32,[0 1 2]
5,-0.001302165,-1.5049995,7.242695e-07,128.0,[2168.73960937 2563.050625   3033.69640625],3769.3474972248077,18432,36,[0 1 2]
5,0.0060932785,-2.2267013,7.1368356e-07,128.0,[2168.83328125 2563.27757813 3034.0721875 ],4143.551440238953,20480,40,[0 1 2]
5,-0.0039668353,-2.4331708,5.6435016e-07,128.0,[2168.9284375  2563.3928125  3034.23945313],4517.512358188629,22528,44,[0 1 2]
5,0.0019133013,-2.7988403,8.5424927e-07,128.0,[2169.03273438 2563.51351562 3034.38804687],4896.271726846695,24576,48,[0 1 2]
5,0.00036841683,-3.0959396,5.096592e-07,128.0,[2169.0434375  2563.57171875 3034.48195313],5269.50345659256,26624,52,[0 1 2]
5,0.0023094078,-3.3830385,6.479508e-07,128.0,[2169.10484375 2563.6459375  3034.59765625],5653.119191169739,28672,56,[0 1 2]
5,0.0064926934,-3.4691834,7.5425146e-07,128.0,[2169.09054688 2563.689375   3034.79515625],6028.284276008606,30720,60,[0 1 2]
5,0.00023870866,-3.5642965,4.376882e-07,128.0,[2169.0659375  2563.71453125 3034.87851563],6399.489405632019,32768,64,[0 1 2]
5,0.0014838438,-3.8432884,5.721744e-07,128.0,[2169.12132813 2563.78039063 3034.98546875],6783.577789068222,34816,68,[0 1 2]
5,-0.00015268323,-3.8858337,5.779569e-07,128.0,[2169.1171875  2563.75546875 3035.00085937],7156.550314903259,36864,72,[0 1 2]
5,-0.0023192936,-3.9294508,7.109069e-07,128.0,[2169.13414062 2563.7384375  3035.0575    ],7537.598521947861,38912,76,[0 1 2]
5,0.00061780814,-4.205493,4.6388567e-07,128.0,[2169.10148437 2563.75695313 3035.148125  ],7915.2941381931305,40960,80,[0 1 2]
4,-0.002300707,-4.321543,4.08626e-07,128.0,[2169.10945313 2563.751875   3035.12289062],8308.945889234543,43008,84,[0 1 2]
3,0.0028274022,-4.462455,3.1207236e-07,128.0,[2169.15765625 2563.72976562 3035.06242187],8853.398383617401,45056,88,[0 1 2]
4,0.0051050805,-4.3035736,4.2754218e-07,128.0,[2169.16765625 2563.7571875  3035.09140625],9404.09775519371,47104,92,[0 1 2]
4,0.0013856373,-4.363155,4.1643813e-07,128.0,[2169.15242188 2563.74117187 3035.06484375],9921.669884681702,49152,96,[0 1 2]
